BTU_count	provisioning	xp_id
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.17
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.18
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.19
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.1
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.20
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.21
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.22
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.23
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.24
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.25
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.26
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.27
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.28
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.29
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.2
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.30
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.31
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.32
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.33
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.34
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.35
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.36
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.37
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.38
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.39
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.3
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.40
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.41
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.42
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.43
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.44
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.45
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.46
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.47
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.48
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.49
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.4
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.50
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.51
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.52
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.53
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.54
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.55
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.56
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.57
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.58
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.59
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.5
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.60
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.61
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.62
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.63
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.64
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.65
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.66
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.67
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.68
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.69
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.6
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.70
