"source" "makespan" "wpo.makespan" "wto.makespan" "wpo.d" "wto.d"
"openstack.hrs.Asap.1250.6.json" 660 572 679 0.133333333333333 0.0287878787878788
"bonfire-fr-inria.pleiades-3x3.Afap.json" 13963 15839 13931 0.134355081286257 0.00229177110936045
"openstack.brs.Asap.1250.3.json" 6083 5260 6325 0.135295084662173 0.0397830018083183
"bonfire-de-hlrs.pleiades-2x2.Afap.json" 15522 17636 15498 0.136193789460121 0.00154619250096637
"bonfire-uk-epcc.hrt.Asap.10000.2.json" 455 392 434 0.138461538461538 0.0461538461538462
"openstack.brs.Asap.1250.7.json" 6071 5225 6347 0.139351013012683 0.0454620326140669
"openstack.brs.Asap.1250.5.json" 6091 5242 6335 0.139385979313742 0.0400591035954687
"openstack.brs.Asap.1250.8.json" 6101 5225 6346 0.143583019177184 0.0401573512538928
"openstack.hrs.Asap.1250.5.json" 693 593 712 0.144300144300144 0.0274170274170274
"bonfire-fr-inria.hrt.Afap.10000.2.json" 740 633 712 0.144594594594595 0.0378378378378378
"openstack.brs.Asap.1250.10.json" 6161 5235 6508 0.150300275929232 0.0563220256451875
"openstack.brs.Asap.1250.9.json" 6152 5225 6399 0.150682704811443 0.040149544863459
"openstack.hrs.Asap.1250.7.json" 678 572 698 0.156342182890855 0.0294985250737463
"bonfire-de-hlrs.hrs.Asap.1250.2.json" 1397 1173 1370 0.16034359341446 0.01932712956335
"openstack.brs.Asap.1250.6.json" 6326 5254 6580 0.169459374012014 0.0401517546632943
"openstack.hrs.Asap.1250.9.json" 698 579 718 0.170487106017192 0.0286532951289398
"bonfire-fr-inria.hrt.Asap.10000.5.json" 400 330 388 0.175 0.03
"openstack.hrs.Asap.1250.2.json" 723 593 744 0.179806362378976 0.029045643153527
"openstack.brs.Asap.1250.json" 6474 5242 6706 0.190299660179178 0.0358356502934816
"bonfire-uk-epcc.hrs.Asap.1250.3.json" 1703 1370 1631 0.195537287140341 0.0422783323546682
"openstack.hrs.Asap.1250.8.json" 769 613 792 0.202860858257477 0.0299089726918075
"openstack.brt.Asap.10000.5.json" 441 351 448 0.204081632653061 0.0158730158730159
"bonfire-de-hlrs.hrs.Afap.1250.json" 4416 3481 4138 0.211730072463768 0.0629528985507246
"bonfire-uk-epcc.hrt.Afap.10000.json" 794 624 760 0.214105793450882 0.0428211586901763
"bonfire-de-hlrs.brs.Afap.1250.3.json" 8550 6706 8021 0.215672514619883 0.0618713450292398
"bonfire-de-hlrs.brs.Afap.1250.2.json" 8606 6706 8072 0.220776202649314 0.0620497327445968
"bonfire-uk-epcc.hrt.Afap.10000.2.json" 802 624 756 0.221945137157107 0.057356608478803
"bonfire-de-hlrs.hrs.Asap.1250.json" 1357 1046 1330 0.229182019159912 0.0198968312453943
"openstack.pleiades-4x4.Afap.json" 10584 13080 10583 0.235827664399093 9.44822373393802e-05
"openstack.brt.Asap.10000.7.json" 521 398 534 0.236084452975048 0.0249520153550864
"bonfire-fr-inria.brt.Afap.10000.2.json" 4352 3301 4140 0.241498161764706 0.0487132352941176
"bonfire-fr-inria.brt.Afap.10000.4.json" 4353 3301 4142 0.2416724098323 0.0484723179416494
"openstack.hrt.Asap.10000.6.json" 136 103 136 0.242647058823529 0
"bonfire-fr-inria.brt.Afap.10000.5.json" 4362 3301 4155 0.243237047226043 0.047455295735901
"bonfire-fr-inria.brt.Afap.10000.json" 4379 3301 4170 0.246174925782142 0.0477277917332724
"bonfire-fr-inria.brt.Afap.10000.3.json" 4384 3301 4177 0.247034671532847 0.0472171532846715
"bonfire-de-hlrs.hrs.Asap.1250.3.json" 1626 1221 1599 0.249077490774908 0.0166051660516605
"openstack.hrs.Asap.1250.4.json" 797 593 821 0.255959849435383 0.0301129234629862
"bonfire-de-hlrs.brs.Afap.1250.json" 9082 6706 8536 0.261616384056375 0.0601189165382074
"bonfire-de-hlrs.brs.Asap.1250.3.json" 7868 5800 7377 0.262836807320793 0.0624046771733604
"bonfire-de-hlrs.brs.Asap.1250.json" 7871 5784 7382 0.265150552661669 0.0621267945623174
"bonfire-de-hlrs.brs.Asap.1250.2.json" 7889 5784 7399 0.266827227785524 0.062111801242236
"openstack.brt.Asap.10000.8.json" 545 398 559 0.269724770642202 0.0256880733944954
"openstack.brt.Asap.10000.4.json" 482 351 492 0.271784232365145 0.020746887966805
"bonfire-uk-epcc.brt.Asap.10000.3.json" 1110 806 1066 0.273873873873874 0.0396396396396396
"bonfire-de-hlrs.brt.Afap.10000.json" 4810 3490 4509 0.274428274428274 0.0625779625779626
"bonfire-de-hlrs.brt.Afap.10000.3.json" 4824 3490 4524 0.27653399668325 0.0621890547263682
"bonfire-uk-epcc.hrs.Asap.1250.json" 1612 1161 1554 0.279776674937965 0.0359801488833747
"bonfire-uk-epcc.brt.Asap.10000.2.json" 1124 806 1078 0.282918149466192 0.0409252669039146
"openstack.brt.Asap.10000.10.json" 518 371 530 0.283783783783784 0.0231660231660232
"bonfire-uk-epcc.brt.Asap.10000.json" 1130 806 1085 0.286725663716814 0.0398230088495575
"openstack.hrt.Asap.10000.8.json" 152 108 154 0.289473684210526 0.0131578947368421
"openstack.brt.Asap.10000.2.json" 502 351 515 0.300796812749004 0.0258964143426295
"bonfire-de-hlrs.hrs.Afap.1250.2.json" 5201 3579 4935 0.311863103249375 0.0511440107671602
"openstack.brt.Asap.10000.3.json" 517 351 529 0.321083172147002 0.02321083172147
"openstack.brt.Asap.10000.6.json" 536 363 550 0.322761194029851 0.0261194029850746
"bonfire-de-hlrs.hrs.Afap.1250.3.json" 5296 3579 5031 0.324206948640483 0.0500377643504532
"bonfire-de-hlrs.brt.Afap.10000.2.json" 4822 3251 4523 0.325798423890502 0.0620074657818333
"openstack.brt.Asap.10000.9.json" 548 363 562 0.337591240875912 0.0255474452554745
"bonfire-fr-inria.hrs.Afap.1250.2.json" 5369 3363 5107 0.373626373626374 0.0487986589681505
"bonfire-fr-inria.hrs.Afap.1250.3.json" 5378 3363 5115 0.374674600223131 0.0489029378951283
"bonfire-fr-inria.hrs.Asap.1250.2.json" 1842 1144 1898 0.378935939196526 0.0304017372421281
"bonfire-uk-epcc.brt.Afap.10000.json" 5721 3534 5434 0.382275825904562 0.0501660548855095
"bonfire-uk-epcc.hrs.Asap.1250.2.json" 1791 1103 1778 0.384142936906756 0.00725851479620324
"bonfire-uk-epcc.brt.Afap.10000.3.json" 5765 3534 5472 0.386990459670425 0.0508239375542064
"bonfire-fr-inria.hrs.Afap.1250.4.json" 5496 3363 5234 0.388100436681223 0.0476710334788937
"bonfire-uk-epcc.brt.Afap.10000.2.json" 5790 3534 5505 0.389637305699482 0.0492227979274611
"bonfire-de-hlrs.brt.Asap.10000.3.json" 1342 813 1319 0.394187779433681 0.0171385991058122
"bonfire-uk-epcc.hrs.Afap.1250.json" 5952 3605 5661 0.39432123655914 0.0488911290322581
"bonfire-fr-inria.brt.Asap.10000.4.json" 1361 790 1305 0.419544452608376 0.0411462160176341
"openstack.brt.Asap.10000.json" 611 351 627 0.425531914893617 0.0261865793780687
"openstack.pleiades-1x1.Afap.json" 1937 2762 1937 0.425916365513681 0
"bonfire-uk-epcc.hrs.Afap.1250.3.json" 6308 3605 5991 0.42850348763475 0.0502536461636018
"openstack.pleiades-1x1.Afap.2.json" 1917 2761 1916 0.440271257172666 0.000521648408972353
"bonfire-de-hlrs.hrt.Afap.10000.json" 1118 619 1048 0.446332737030411 0.0626118067978533
"bonfire-fr-inria.hrt.Asap.10000.2.json" 619 330 615 0.466882067851373 0.00646203554119548
"bonfire-de-hlrs.brt.Asap.10000.json" 1487 784 1466 0.472763954270343 0.0141223940820444
"bonfire-fr-inria.hrt.Asap.10000.3.json" 649 331 636 0.489984591679507 0.0200308166409861
"bonfire-uk-epcc.brs.Afap.1250.json" 14823 7301 14103 0.507454631316198 0.0485731633272617
"bonfire-uk-epcc.brs.Asap.1250.json" 12752 6267 12150 0.508547678795483 0.0472082810539523
"bonfire-uk-epcc.brs.Asap.1250.2.json" 12789 6267 12189 0.509969505043397 0.0469153178512784
"bonfire-uk-epcc.brs.Asap.1250.3.json" 12870 6267 12260 0.513053613053613 0.0473970473970474
"openstack.hrt.Asap.10000.5.json" 273 130 273 0.523809523809524 0
"bonfire-de-hlrs.hrt.Asap.10000.4.json" 828 389 820 0.530193236714976 0.00966183574879227
"bonfire-uk-epcc.hrt.Afap.10000.3.json" 1062 498 1010 0.531073446327684 0.0489642184557439
"bonfire-uk-epcc.brs.Afap.1250.2.json" 15336 7099 14596 0.537102243088159 0.0482524778299426
"openstack.hrt.Asap.10000.4.json" 272 125 274 0.540441176470588 0.00735294117647059
"bonfire-uk-epcc.brs.Afap.1250.3.json" 16636 7579 15825 0.544421735994229 0.0487496994469824
"bonfire-fr-inria.hrs.Afap.1250.json" 7799 3363 7419 0.568790870624439 0.0487241954096679
"bonfire-fr-inria.hrs.Asap.1250.4.json" 2754 1118 2311 0.594045025417574 0.160856935366739
"bonfire-de-hlrs.hrt.Asap.10000.2.json" 971 389 968 0.599382080329557 0.00308959835221421
"openstack.hrt.Asap.10000.9.json" 304 121 302 0.601973684210526 0.00657894736842105
"bonfire-de-hlrs.hrt.Asap.10000.json" 983 389 980 0.604272634791455 0.00305188199389624
"openstack.hrt.Asap.10000.json" 333 130 333 0.60960960960961 0
"bonfire-de-hlrs.hrt.Asap.10000.3.json" 1000 389 997 0.611 0.003
"bonfire-fr-inria.hrs.Asap.1250.3.json" 2492 961 2403 0.614365971107544 0.0357142857142857
"openstack.hrt.Asap.10000.7.json" 280 105 282 0.625 0.00714285714285714
"bonfire-de-hlrs.hrt.Afap.10000.3.json" 1986 619 1919 0.688318227593152 0.0337361530715005
"bonfire-fr-inria.hrt.Asap.10000.4.json" 1083 337 1079 0.688827331486611 0.00369344413665743
"bonfire-de-hlrs.hrt.Afap.10000.2.json" 2330 619 2263 0.734334763948498 0.028755364806867
"bonfire-fr-inria.pleiades-2x2.Afap.2.json" 8628 15637 8613 0.812355122855818 0.00173852573018081
"bonfire-fr-inria.pleiades-3x3.Afap.3.json" 19126 36506 19089 0.908710655651992 0.00193453937049043
"bonfire-fr-inria.pleiades-2x2.Afap.3.json" 7941 15851 7927 0.996096209545397 0.00176300214078831
"bonfire-uk-epcc.pleiades-2x2.Afap.json" 7789 15807 7775 1.02940043651303 0.00179740659904994
"openstack.pleiades-3x3.Afap.json" 7234 14865 7532 1.05487973458667 0.0411943599668233
"bonfire-fr-inria.pleiades-2x2.Afap.json" 7947 18510 7933 1.32918082295206 0.00176167107084434
"openstack.pleiades-2x2.Afap.json" 3697 18218 3696 3.9277792804977 0.000270489586150933
