"source" "BTU" "wpo.BTU" "wto.BTU" "wpo.d" "wto.d"
"bonfire-uk-epcc.pleiades-3x3.Afap.2.json" 12 11 11 0.0833333333333333 0.0833333333333333
"bonfire-fr-inria.pleiades-1x1.Asap.json" 11 12 12 0.0909090909090909 0.0909090909090909
"bonfire-fr-inria.pleiades-1x1.Asap.4.json" 10 11 10 0.1 0
"bonfire-uk-epcc.pleiades-2x2.Afap.json" 10 9 9 0.1 0.1
"bonfire-de-hlrs.pleiades-3x3.Asap.json" 69 62 66 0.101449275362319 0.0434782608695652
"bonfire-de-hlrs.hrs.Asap.1250.2.json" 18 20 18 0.111111111111111 0
"bonfire-de-hlrs.pleiades-2x2.Afap.3.json" 9 10 10 0.111111111111111 0.111111111111111
"bonfire-uk-epcc.pleiades-2x2.Asap.3.json" 25 22 21 0.12 0.16
"bonfire-de-hlrs.pleiades-3x3.Afap.2.json" 24 21 25 0.125 0.0416666666666667
"bonfire-uk-epcc.pleiades-1x1.Asap.json" 8 7 8 0.125 0
"bonfire-de-hlrs.pleiades-2x2.Asap.3.json" 28 24 36 0.142857142857143 0.285714285714286
"bonfire-uk-epcc.pleiades-2x2.Afap.4.json" 7 6 6 0.142857142857143 0.142857142857143
"openstack.hrt.Asap.10000.6.json" 14 16 14 0.142857142857143 0
"openstack.hrt.Asap.10000.7.json" 14 16 14 0.142857142857143 0
"bonfire-fr-inria.pleiades-3x3.Afap.2.json" 13 11 11 0.153846153846154 0.153846153846154
"bonfire-fr-inria.pleiades-2x2.Asap.json" 37 43 52 0.162162162162162 0.405405405405405
"bonfire-fr-inria.hrt.Asap.10000.2.json" 6 7 6 0.166666666666667 0
"bonfire-fr-inria.hrt.Asap.10000.3.json" 6 7 6 0.166666666666667 0
"bonfire-fr-inria.hrt.Asap.10000.5.json" 6 7 6 0.166666666666667 0
"bonfire-fr-inria.pleiades-2x2.Asap.2.json" 54 45 70 0.166666666666667 0.296296296296296
"bonfire-uk-epcc.pleiades-2x2.Afap.2.json" 6 5 4 0.166666666666667 0.333333333333333
"bonfire-uk-epcc.pleiades-2x2.Asap.json" 26 21 24 0.192307692307692 0.0769230769230769
"openstack.hrt.Asap.10000.8.json" 14 17 14 0.214285714285714 0
"bonfire-de-hlrs.brt.Asap.10000.3.json" 12 15 12 0.25 0
"bonfire-de-hlrs.pleiades-2x2.Afap.2.json" 8 10 12 0.25 0.5
"bonfire-fr-inria.pleiades-2x2.Afap.2.json" 8 10 9 0.25 0.125
"bonfire-fr-inria.pleiades-2x2.Afap.3.json" 8 10 8 0.25 0
"bonfire-de-hlrs.pleiades-2x2.Asap.2.json" 35 26 35 0.257142857142857 0
"bonfire-de-hlrs.pleiades-3x3.Afap.3.json" 28 20 25 0.285714285714286 0.107142857142857
"bonfire-de-hlrs.pleiades-3x3.Asap.3.json" 49 63 49 0.285714285714286 0
"bonfire-fr-inria.brt.Asap.10000.4.json" 10 13 10 0.3 0
"bonfire-de-hlrs.brt.Afap.10000.2.json" 3 2 3 0.333333333333333 0
"bonfire-de-hlrs.brt.Afap.10000.3.json" 3 2 3 0.333333333333333 0
"bonfire-de-hlrs.brt.Afap.10000.json" 3 2 3 0.333333333333333 0
"bonfire-de-hlrs.hrs.Afap.1250.2.json" 6 4 6 0.333333333333333 0
"bonfire-de-hlrs.hrs.Afap.1250.3.json" 6 4 6 0.333333333333333 0
"bonfire-de-hlrs.pleiades-1x1.Afap.3.json" 3 2 3 0.333333333333333 0
"bonfire-fr-inria.brt.Afap.10000.2.json" 3 2 3 0.333333333333333 0
"bonfire-fr-inria.brt.Afap.10000.3.json" 3 2 3 0.333333333333333 0
"bonfire-fr-inria.brt.Afap.10000.4.json" 3 2 3 0.333333333333333 0
"bonfire-fr-inria.brt.Afap.10000.5.json" 3 2 3 0.333333333333333 0
"bonfire-fr-inria.brt.Afap.10000.json" 3 2 3 0.333333333333333 0
"bonfire-fr-inria.hrs.Asap.1250.2.json" 15 20 15 0.333333333333333 0
"bonfire-fr-inria.hrs.Asap.1250.3.json" 15 20 15 0.333333333333333 0
"bonfire-fr-inria.hrs.Asap.1250.4.json" 15 20 17 0.333333333333333 0.133333333333333
"bonfire-fr-inria.hrt.Asap.10000.4.json" 6 8 6 0.333333333333333 0
"bonfire-uk-epcc.brt.Afap.10000.2.json" 3 2 3 0.333333333333333 0
"bonfire-uk-epcc.brt.Afap.10000.3.json" 3 2 3 0.333333333333333 0
"bonfire-uk-epcc.brt.Afap.10000.json" 3 2 3 0.333333333333333 0
"openstack.hrt.Asap.10000.9.json" 14 19 14 0.357142857142857 0
